,label,orig_pred,adv_pred
0,1,1,1
1,0,0,0
2,1,1,1
3,0,0,1
4,1,1,1
5,0,0,1
6,1,1,1
7,1,1,1
8,0,0,0
9,1,1,1
10,1,1,1
11,0,0,1
12,0,0,0
13,1,1,1
14,0,0,0
15,0,0,0
16,0,0,1
17,0,0,1
18,1,1,1
19,0,0,1
20,0,0,1
21,1,1,1
22,1,1,1
23,0,0,1
24,1,1,1
25,0,0,0
26,1,1,1
27,0,0,1
28,0,0,1
29,0,0,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,0,0,0
35,1,1,1
36,0,0,1
37,1,1,1
38,0,1,1
39,0,0,0
40,1,1,1
41,1,1,1
42,1,1,1
43,0,0,0
44,0,0,1
45,1,1,1
46,1,1,1
47,0,0,1
48,1,1,1
49,1,1,1
50,0,0,0
51,0,0,1
52,0,0,1
53,0,0,0
54,0,0,1
55,1,1,1
56,1,1,1
57,1,1,1
58,1,1,1
59,0,0,1
60,1,1,1
61,1,1,1
62,1,1,1
63,0,0,0
64,1,1,1
65,0,0,0
66,0,0,1
67,0,0,0
68,1,1,1
69,0,0,0
70,1,1,1
71,0,0,1
72,1,1,1
73,1,1,1
74,1,1,1
75,0,0,1
76,1,1,1
77,0,0,1
78,0,0,1
79,1,1,1
80,1,1,1
81,0,0,1
82,0,0,1
83,1,1,1
84,1,1,1
85,0,0,1
86,0,0,1
87,0,0,1
88,1,1,1
89,0,0,1
90,0,0,1
91,0,0,1
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,0,0,0
97,1,1,1
98,0,0,1
99,1,1,1
100,1,1,1
101,1,1,1
102,0,0,0
103,0,0,1
104,0,0,0
105,0,0,1
106,0,0,0
107,0,0,0
108,0,0,0
109,1,1,1
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,0,0,1
115,0,0,1
116,1,1,1
117,0,0,0
118,1,1,1
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,1,1,1
125,0,0,1
126,1,1,1
127,1,1,1
128,1,1,1
129,0,0,0
130,0,0,1
131,1,1,1
132,1,1,1
133,1,1,1
134,0,0,1
135,1,1,1
136,0,0,1
137,1,1,1
138,0,0,0
139,0,0,1
140,1,1,1
141,1,1,1
142,1,1,1
143,1,1,1
144,0,0,0
145,1,1,1
146,0,0,1
147,1,1,1
148,0,0,1
149,1,1,1
150,0,0,1
151,0,0,0
152,1,1,1
153,0,0,1
154,0,0,1
155,1,1,1
156,0,0,1
157,0,0,1
158,0,0,0
159,0,0,0
160,1,1,1
161,0,0,1
162,1,1,1
163,0,0,1
164,1,1,1
165,1,1,1
166,1,1,1
167,1,1,1
168,0,0,1
169,1,1,1
170,1,1,1
171,1,1,1
172,0,0,0
173,0,0,1
174,0,0,0
175,0,0,0
176,0,0,1
177,0,0,0
178,1,1,1
179,0,0,1
180,0,0,1
181,0,0,0
182,1,1,1
183,1,1,1
184,0,0,0
185,0,0,1
186,1,1,1
187,1,1,1
188,1,1,1
189,0,0,1
190,1,1,1
191,0,0,0
192,1,1,1
193,0,0,0
194,1,1,1
195,0,0,1
196,1,1,1
197,0,0,1
198,1,1,1
199,1,1,1
200,1,1,1
201,1,1,1
202,1,1,1
203,0,0,0
204,0,0,1
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,1
209,0,0,1
210,0,0,1
211,1,1,1
212,1,1,1
213,1,1,1
214,0,0,1
215,1,1,1
216,0,0,0
217,0,0,1
218,0,0,1
219,1,1,1
220,0,0,0
221,1,1,1
222,0,0,1
223,0,0,0
224,0,0,1
225,1,1,1
226,0,0,0
227,0,0,1
228,1,1,1
229,1,1,1
230,1,1,1
231,1,1,1
232,0,0,1
233,0,0,0
234,1,1,1
235,1,1,1
